customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,date_of_birth,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,cust_rank,cust_value,age,age_group
21,Teddie,Burchill,Male,11,12/21/1968,ProgrammerNullI,Manufacturing,Mass Customer,No,Yes,13,321 Raven Plaza,2161,New South Wales,Australia,9,21,1.51562,55,Senior
22,Gaston,Dallaghan,Male,44,9/29/1993,FinancialNullAnalyst,Financial Services,Mass Customer,No,Yes,8,656 Fuller Street,2783,New South Wales,Australia,7,21,1.51562,30,Adult
23,Otis,Ottey,Male,26,2/5/1998,QualityNullEngineer,n/a,Mass Customer,No,No,3,1562 Merchant Street,4744,Queensland,Australia,4,23,1.5,25,Teenager
24,Tabbatha,Averill,Female,5,12/17/1977,QualityNullControlNullSpecialist,n/a,Affluent Customer,No,Yes,13,663 8th Parkway,2257,New South Wales,Australia,8,23,1.5,46,Adult
25,Brena,Schnitter,Female,78,10/11/1982,AccountNullExecutive,Manufacturing,Mass Customer,No,No,4,67 Shelley Street,4703,Queensland,Australia,5,25,1.48438,41,Adult
26,Rourke,Gillbard,Male,11,8/3/1945,,Property,Mass Customer,No,No,17,75 Cordelia Trail,4817,Queensland,Australia,4,26,1.46875,78,Senior
27,Dyane,Burwell,Female,19,6/27/1952,EngineerNullII,Retail,Mass Customer,No,Yes,7,51 Hooker Court,2640,New South Wales,Australia,2,26,1.46875,71,Senior
28,Claudine,Barstowk,Female,71,7/20/1966,Nurse,Property,High Net Worth,No,Yes,5,1859 Forest Circle,4000,Queensland,Australia,11,26,1.46875,57,Senior
29,Blinnie,Roze,Female,84,12/10/1960,Librarian,Entertainment,High Net Worth,No,No,11,44557 Rutledge Court,4171,Queensland,Australia,7,26,1.46875,63,Senior
30,Rhona,De Freyne,Female,45,11/22/1960,,Health,High Net Worth,No,No,8,11184 East Drive,3056,Victoria,Australia,10,30,1.46094,63,Senior
31,Sharron,Claibourn,Female,62,1/26/1980,,Financial Services,High Net Worth,No,Yes,17,555 Hermina Avenue,2280,New South Wales,Australia,8,30,1.46094,43,Adult
32,Brien,Heaton,Male,70,11/28/1951,ClinicalNullSpecialist,Health,Mass Customer,No,Yes,12,8 Novick Trail,2470,New South Wales,Australia,2,32,1.45312,72,Senior
33,Sybilla,MacCart,Female,88,1/15/1987,Paralegal,Financial Services,Mass Customer,No,Yes,7,74 Welch Pass,2620,New South Wales,Australia,7,32,1.45312,36,Adult
34,Mikel,McNess,Male,71,9/22/1981,Nurse,n/a,Mass Customer,No,No,9,3 Pleasure Drive,4122,Queensland,Australia,9,32,1.45312,42,Adult
35,Maisie,Maddox,Female,27,5/9/1977,AssistantNullManager,Financial Services,Affluent Customer,No,No,20,8 Dennis Point,3226,Victoria,Australia,9,32,1.45312,46,Adult
36,Arleen,Casbolt,Female,48,5/10/1975,SeniorNullQualityNullEngineer,Financial Services,Affluent Customer,No,Yes,13,41042 Lotheville Crossing,4817,Queensland,Australia,1,36,1.44766,48,Adult
37,Farlie,Petford,Male,76,3/25/1968,RecruitingNullManager,n/a,High Net Worth,No,No,13,2330 Butternut Trail,2017,New South Wales,Australia,10,36,1.44766,55,Senior
38,Mitchell,MacCague,Male,58,4/11/1979,,Manufacturing,Mass Customer,No,No,15,240 Acker Avenue,3190,Victoria,Australia,8,38,1.4375,44,Adult
39,Garik,Whitwell,Male,44,6/13/1955,,Property,Mass Customer,No,Yes,13,04 Dexter Way,3280,Victoria,Australia,2,38,1.4375,68,Senior
40,Antonin,Britt,Male,64,8/28/1993,,Manufacturing,Affluent Customer,No,Yes,8,011 Northland Trail,2160,New South Wales,Australia,9,40,1.43437,30,Adult
41,Vinny,Incogna,Female,73,2/13/1953,,Health,High Net Worth,No,No,10,8 Grayhawk Circle,2756,New South Wales,Australia,8,40,1.43437,70,Senior
42,Colene,Fishleigh,Female,24,3/14/1985,DesignNullEngineer,Financial Services,Mass Customer,No,No,3,44 Darwin Lane,3149,Victoria,Australia,10,42,1.42188,38,Adult
43,Neile,Argent,Female,79,10/25/1946,,Retail,Mass Customer,No,No,8,2548 Arrowood Pass,2024,New South Wales,Australia,10,42,1.42188,77,Senior
44,Corinna,Suggey,Female,52,9/18/1966,DesignNullEngineer,n/a,Affluent Customer,No,No,9,938 Ilene Road,2761,New South Wales,Australia,8,44,1.42109,57,Senior
45,Brooke,Arling,Male,76,12/5/1961,,n/a,High Net Worth,No,No,6,6 Melby Center,3027,Victoria,Australia,5,44,1.42109,62,Senior
46,Gipsy,Ewestace,Female,29,8/30/1956,BusinessNullSystemsNullDevelopmentNullAnalyst,Retail,High Net Worth,No,Yes,5,08708 Moulton Park,2034,New South Wales,Australia,12,46,1.40781,67,Senior
47,Sheena,Kybbye,Female,14,7/16/1956,Paralegal,Financial Services,Affluent Customer,No,Yes,19,306 Clemons Junction,4852,Queensland,Australia,1,46,1.40781,67,Senior
48,Jobina,Gobourn,Female,85,12/4/1994,VPNullQualityNullControl,n/a,High Net Worth,No,Yes,14,18 Grim Road,4305,Queensland,Australia,4,46,1.40781,29,Teenager
49,Gale,Disbrow,Female,59,5/14/1977,CostNullAccountant,Financial Services,Mass Customer,No,Yes,17,169 Bashford Drive,3741,Victoria,Australia,7,46,1.40781,46,Adult
50,Thaxter,Kingsbury,Male,12,5/3/1950,ProductNullEngineer,Argiculture,Mass Customer,No,No,20,3 Vermont Lane,2067,New South Wales,Australia,12,50,1.40625,73,Senior
51,Heinrick,Shilstone,Male,60,2/11/1978,,Manufacturing,Affluent Customer,No,No,10,998 Gale Park,3174,Victoria,Australia,8,50,1.40625,45,Adult
52,Taylor,Steuhlmeyer,Male,62,3/22/1999,Paralegal,Financial Services,Affluent Customer,No,Yes,5,64 Mcguire Trail,4017,Queensland,Australia,8,52,1.39453,24,Teenager
53,Griswold,Kelsall,Male,55,12/19/1993,SocialNullWorker,Health,High Net Worth,No,Yes,11,74127 Blaine Point,3805,Victoria,Australia,7,52,1.39453,30,Adult
54,Odessa,Mc Andrew,Female,97,12/1/1981,,Property,Mass Customer,No,No,8,31756 Meadow Valley Lane,2232,New South Wales,Australia,10,54,1.38125,42,Adult
55,Lavena,Seekings,Female,87,3/25/1995,PaymentNullAdjustmentNullCoordinator,Retail,Mass Customer,No,No,16,293 Mayfield Street,3166,Victoria,Australia,10,54,1.38125,28,Teenager
56,Martelle,Tuppeny,Female,52,2/3/1981,MarketingNullAssistant,Manufacturing,Mass Customer,No,No,9,261 Grayhawk Way,2226,New South Wales,Australia,10,54,1.38125,42,Adult
57,Briant,Ladley,Male,75,12/17/1979,Recruiter,Argiculture,Mass Customer,No,No,12,2 Schlimgen Terrace,2750,New South Wales,Australia,8,57,1.375,44,Adult
58,Marylou,Kirkup,Female,51,10/31/1972,VPNullProductNullManagement,n/a,Mass Customer,No,No,14,76733 Sunbrook Terrace,3196,Victoria,Australia,9,57,1.375,51,Senior
59,Whittaker,,Male,64,7/29/1966,MediaNullManagerNullIII,n/a,Mass Customer,No,Yes,8,683 Florence Way,3156,Victoria,Australia,5,57,1.375,57,Senior
60,Lorrie,Antonelli,Male,47,2/11/1983,CostNullAccountant,Financial Services,High Net Worth,No,Yes,17,06936 Bobwhite Circle,2257,New South Wales,Australia,7,57,1.375,40,Adult
61,Jedediah,Kedie,Male,31,12/29/1971,DeveloperNullI,Argiculture,Mass Customer,No,Yes,9,283 Acker Drive,2763,New South Wales,Australia,9,62,1.36797,52,Senior
62,Kaine,Smallcombe,Male,59,2/6/1942,SeniorNullFinancialNullAnalyst,Financial Services,High Net Worth,No,No,11,9 Mosinee Parkway,2072,New South Wales,Australia,10,62,1.36797,81,Senior
63,Loise,Iltchev,Female,70,3/18/1967,ElectricalNullEngineer,Manufacturing,High Net Worth,No,Yes,17,45 Becker Place,4504,Queensland,Australia,6,62,1.36797,56,Senior
64,Cristen,Maroney,Female,22,11/21/1999,AccountantNullIV,IT,High Net Worth,No,Yes,7,27 Karstens Crossing,4214,Queensland,Australia,7,65,1.3625,24,Teenager
65,Dorothy,Barnardo,Female,58,2/1/1983,HumanNullResourcesNullManager,Retail,High Net Worth,No,No,12,9630 Cottonwood Avenue,2168,New South Wales,Australia,8,65,1.3625,40,Adult
66,Rosmunda,Duxbarry,Female,69,7/20/1996,ExecutiveNullSecretary,Property,Affluent Customer,No,Yes,5,989 Graedel Terrace,4208,Queensland,Australia,11,65,1.3625,27,Teenager
67,Rozamond,Riha,Female,54,10/7/1984,AccountNullRepresentativeNullI,Manufacturing,Affluent Customer,No,Yes,16,76 Bartelt Center,4078,Queensland,Australia,7,68,1.35469,39,Adult
68,Gunner,Petti,Male,62,6/8/1999,ExecutiveNullSecretary,Financial Services,High Net Worth,No,Yes,3,29778 Mendota Drive,4036,Queensland,Australia,5,68,1.35469,24,Teenager
69,Vivienne,Crayden,Female,82,9/18/1988,AssociateNullProfessor,n/a,High Net Worth,No,Yes,6,69 Algoma Center,4173,Queensland,Australia,7,68,1.35469,35,Adult
70,Sherilyn,Canero,Female,11,8/3/1996,DentalNullHygienist,Health,High Net Worth,No,Yes,13,8288 Lyons Way,2484,New South Wales,Australia,7,68,1.35469,27,Teenager
71,Bessie,Roscow,Female,78,8/4/1994,GISNullTechnicalNullArchitect,Financial Services,Mass Customer,No,No,9,4185 Florence Trail,2121,New South Wales,Australia,10,72,1.35,29,Teenager
72,Kevina,Ferandez,Female,73,9/21/1999,AssistantNullProfessor,Financial Services,High Net Worth,No,No,15,9608 Heffernan Drive,4068,Queensland,Australia,9,72,1.35,24,Teenager
73,Yancy,Clementet,Male,5,2/16/1968,MechanicalNullSystemsNullEngineer,n/a,High Net Worth,No,No,15,9 Union Center,2147,New South Wales,Australia,9,72,1.35,55,Senior
74,Mabelle,Wellbelove,Female,76,4/21/1958,,Financial Services,Affluent Customer,No,Yes,19,800 Emmet Park,2219,New South Wales,Australia,9,72,1.35,65,Senior
75,Hasheem,Groucock,Male,98,9/17/1974,Budget/AccountingNullAnalystNullIV,Manufacturing,High Net Worth,No,Yes,10,12351 Spenser Pass,2034,New South Wales,Australia,12,72,1.35,49,Adult
76,Tobias,Woodhams,Male,0,4/15/1961,ResearchNullNurse,Health,Mass Customer,No,No,17,4 Valley Edge Plaza,2759,New South Wales,Australia,9,77,1.34141,62,Senior
77,Glennis,Flintoff,Female,36,10/22/1956,SpeechNullPathologist,Health,Affluent Customer,No,Yes,13,1601 Rutledge Lane,3030,Victoria,Australia,7,78,1.3375,67,Senior
78,Chanda,Mensler,Female,15,1/14/1972,ComputerNullSystemsNullAnalystNullIV,Manufacturing,Mass Customer,No,Yes,13,0 Mockingbird Plaza,2212,New South Wales,Australia,10,78,1.3375,51,Senior
79,Katheryn,Kinner,Female,15,11/28/1973,AnalystNullProgrammer,Entertainment,High Net Worth,No,No,6,1665 Kenwood Center,2518,New South Wales,Australia,6,78,1.3375,50,Senior
80,Sumner,Carrivick,Male,53,4/9/1995,DesktopNullSupportNullTechnician,Manufacturing,Mass Customer,No,No,15,5 4th Center,2097,New South Wales,Australia,12,78,1.3375,28,Teenager
81,Valerie,Pickover,Female,34,9/8/1965,Editor,Financial Services,Mass Customer,No,No,9,92214 Spenser Road,2756,New South Wales,Australia,8,78,1.3375,58,Senior
82,Esther,Rooson,Female,14,2/22/1981,,Financial Services,Mass Customer,No,No,5,5186 Main Trail,2046,New South Wales,Australia,9,78,1.3375,42,Adult
83,Gardie,Crellim,Male,58,9/12/1975,BiostatisticianNullIV,Manufacturing,High Net Worth,No,No,8,564 Forest Dale Avenue,3161,Victoria,Australia,12,84,1.32812,48,Adult
84,Sean,O'Loughlin,Male,48,3/22/1961,DatabaseNullAdministratorNullIII,Manufacturing,High Net Worth,No,Yes,16,83 Old Gate Point,2576,New South Wales,Australia,10,85,1.325,62,Senior
85,Pietra,Buckleigh,Female,9,4/29/1949,EngineerNullIII,n/a,High Net Worth,No,No,13,387 Dixon Alley,2024,New South Wales,Australia,10,85,1.325,74,Senior
86,Marysa,Rouchy,Female,8,2/15/1999,AssistantNullMediaNullPlanner,Entertainment,Affluent Customer,No,No,5,411 Twin Pines Way,2026,New South Wales,Australia,9,85,1.325,24,Teenager
87,Kahaleel,,Male,5,11/1/1942,GISNullTechnicalNullArchitect,n/a,High Net Worth,No,No,13,12 Arapahoe Park,2035,New South Wales,Australia,12,88,1.31484,81,Senior
88,Ossie,Midden,Male,49,2/10/1950,PhysicalNullTherapyNullAssistant,Manufacturing,Mass Customer,No,Yes,14,4915 Debra Center,2479,New South Wales,Australia,9,89,1.3125,73,Senior
89,Sid,Carlone,Male,24,8/18/1971,StructuralNullEngineer,Health,Affluent Customer,No,No,16,76 Sunnyside Avenue,4670,Queensland,Australia,2,89,1.3125,52,Senior
90,Ludovico,Juster,Male,93,4/19/1992,EnvironmentalNullSpecialist,n/a,Affluent Customer,No,No,15,1 Talisman Avenue,2125,New South Wales,Australia,10,89,1.3125,31,Adult
91,Patricia,Everix,Female,34,2/19/1978,DirectorNullofNullSales,Health,Mass Customer,No,No,19,91164 Washington Terrace,2263,New South Wales,Australia,7,89,1.3125,45,Adult
92,Andromache,Bonafacino,Female,84,9/1/1977,,Retail,Mass Customer,No,No,11,74 Carpenter Street,2015,New South Wales,Australia,9,89,1.3125,46,Adult
93,Levy,Abramamov,Male,94,9/21/1952,Teacher,n/a,Affluent Customer,No,Yes,14,6776 Anderson Center,4037,Queensland,Australia,8,89,1.3125,71,Senior
94,Nobe,McAughtry,Male,25,12/14/1978,,n/a,Mass Customer,No,No,12,1 Orin Hill,4510,Queensland,Australia,5,89,1.3125,45,Adult
95,Jehu,Prestedge,Male,91,10/20/1999,,Manufacturing,High Net Worth,No,Yes,8,88 Annamark Avenue,2138,New South Wales,Australia,12,96,1.3,24,Teenager
96,Symon,Mawne,Male,18,2/8/1943,HumanNullResourcesNullAssistantNullIV,Property,Mass Customer,No,Yes,15,37439 High Crossing Circle,3350,Victoria,Australia,4,96,1.3,80,Senior
97,Karlik,Penchen,Male,60,10/31/1994,NurseNullPracticioner,Retail,Mass Customer,No,No,11,5 Nevada Point,4017,Queensland,Australia,6,96,1.3,29,Teenager
98,Bengt,Bilson,Male,26,11/2/1972,StructuralNullEngineer,Manufacturing,High Net Worth,No,No,11,67 Grayhawk Circle,2232,New South Wales,Australia,10,99,1.29688,51,Senior
99,Evangelin,Boc,Female,30,5/9/2000,StructuralNullAnalysisNullEngineer,Manufacturing,High Net Worth,No,Yes,14,0 Meadow Ridge Street,3173,Victoria,Australia,8,99,1.29688,23,Teenager
100,Hanny,Treven,Female,84,1/22/1991,AssociateNullProfessor,Retail,Mass Customer,No,No,3,5 Quincy Street,4118,Queensland,Australia,4,99,1.29688,32,Adult
101,Gina,Mallon,Female,56,2/11/1994,DentalNullHygienist,Health,Mass Customer,No,No,12,13025 Johnson Plaza,4670,Queensland,Australia,2,102,1.28828,29,Teenager
102,Reynold,Elman,Male,19,1/18/1940,MarketingNullManager,Manufacturing,Mass Customer,No,No,9,966 Sunnyside Center,2390,New South Wales,Australia,2,102,1.28828,83,Senior
103,Flossy,Concannon,Female,64,10/20/1980,StaffNullAccountantNullIV,Financial Services,Affluent Customer,No,No,8,802 Mallory Park,3919,Victoria,Australia,2,104,1.2875,43,Adult
104,Cristen,Wiltshire,Female,59,10/20/1961,VPNullSales,Financial Services,High Net Worth,No,Yes,15,93 Judy Drive,3047,Victoria,Australia,6,104,1.2875,62,Senior
105,Griffith,Escot,Male,50,10/23/1946,AccountantNullIII,IT,Mass Customer,No,Yes,16,94 Manitowish Court,4116,Queensland,Australia,3,104,1.2875,77,Senior
106,Jamie,Jiruca,Female,21,6/16/1963,RecruitingNullManager,Argiculture,Mass Customer,No,No,18,5013 Erie Crossing,2230,New South Wales,Australia,9,104,1.2875,60,Senior
107,Lyon,Brittan,Male,14,4/23/1972,SalesNullRepresentative,Retail,High Net Worth,No,No,19,540 Sachs Road,3153,Victoria,Australia,8,104,1.2875,51,Senior
108,Aridatha,Sephton,Female,95,10/22/1961,HumanNullResourcesNullAssistantNullII,n/a,Mass Customer,No,No,5,422 Forster Circle,2340,New South Wales,Australia,1,104,1.2875,62,Senior
109,Michal,Bryan,Female,1,11/9/1969,,Manufacturing,Mass Customer,No,Yes,16,4275 Bluestem Pass,4000,Queensland,Australia,8,104,1.2875,54,Senior
110,Franciska,Stigell,Female,95,11/15/1968,FoodNullChemist,Health,Mass Customer,No,Yes,7,6 Anderson Junction,3802,Victoria,Australia,7,111,1.28125,55,Senior
111,Jordan,Clampe,Male,37,12/9/1939,StaffNullScientist,Financial Services,Mass Customer,No,Yes,11,276 Westend Road,4207,Queensland,Australia,5,111,1.28125,84,Senior
112,David,Napoleon,Male,72,11/5/1961,StructuralNullEngineer,n/a,High Net Worth,No,No,14,69 Garrison Point,2223,New South Wales,Australia,11,111,1.28125,62,Senior
113,Meriel,Tapp,Female,0,8/13/1995,VPNullSales,IT,Mass Customer,No,No,5,65 Milwaukee Hill,3280,Victoria,Australia,2,114,1.275,28,Teenager
114,Dolley,Starmont,Female,53,11/8/1977,GeologistNullIV,Manufacturing,Affluent Customer,No,No,18,4252 Dovetail Pass,4129,Queensland,Australia,6,114,1.275,46,Adult
115,Frederik,Milan,Male,45,11/13/1997,,Health,Mass Customer,No,No,5,56 Riverside Street,2546,New South Wales,Australia,5,114,1.275,26,Teenager
116,Rollo,Louedey,Male,64,7/9/1946,InformationNullSystemsNullManager,Telecommunications,Affluent Customer,No,Yes,17,7 Cascade Park,2089,New South Wales,Australia,9,114,1.275,77,Senior
117,Jerrine,Cosbey,Female,21,1/11/1978,JuniorNullExecutive,Financial Services,High Net Worth,No,Yes,6,29307 Russell Avenue,3094,Victoria,Australia,9,114,1.275,45,Adult
118,Roddy,Rubinshtein,Male,37,10/8/1987,NurseNullPracticioner,Retail,Mass Customer,No,Yes,4,3 Mcguire Crossing,4510,Queensland,Australia,7,114,1.275,36,Adult
119,Viki,Coutts,Female,2,12/14/1952,AutomationNullSpecialistNullII,Property,Mass Customer,No,Yes,7,6 Golf View Alley,2287,New South Wales,Australia,4,120,1.2625,71,Senior
120,Ashby,Bispham,Male,71,10/29/1981,SoftwareNullConsultant,Retail,Affluent Customer,No,No,4,83716 Russell Lane,2145,New South Wales,Australia,8,120,1.2625,42,Adult
121,Alexander,Broadbent,Male,57,5/28/1997,DesktopNullSupportNullTechnician,n/a,Mass Customer,No,No,9,265 Stephen Trail,2209,New South Wales,Australia,10,120,1.2625,26,Teenager
122,Teddy,Lagadu,Female,86,7/20/1969,DesignNullEngineer,n/a,High Net Worth,No,No,6,2 Charing Cross Trail,2759,New South Wales,Australia,8,120,1.2625,54,Senior
123,Peria,Rantoull,Female,3,3/13/1975,FinancialNullAnalyst,Financial Services,Mass Customer,No,No,4,8350 Moulton Terrace,4500,Queensland,Australia,4,120,1.2625,48,Adult
124,Ludvig,Andren,Male,44,2/22/1941,MediaNullManagerNullIII,n/a,High Net Worth,No,Yes,15,578 Waywood Circle,4306,Queensland,Australia,5,125,1.26172,82,Senior
125,Elsworth,Abbitt,Male,71,2/8/1956,,Health,Mass Customer,No,Yes,6,9722 Northport Way,3500,Victoria,Australia,3,125,1.26172,67,Senior
126,Rebeca,Aggas,Female,66,2/27/1953,SocialNullWorker,Health,Affluent Customer,No,No,21,7026 Katie Lane,3818,Victoria,Australia,1,127,1.25,70,Senior
127,Ricki,Dobrowski,Male,13,3/10/1975,CivilNullEngineer,Manufacturing,Mass Customer,No,Yes,9,8 Eggendart Pass,2835,New South Wales,Australia,1,127,1.25,48,Adult
128,Georgetta,Lovett,Female,42,2/2/1940,Editor,Retail,Mass Customer,No,No,12,1 Bluejay Place,4405,Queensland,Australia,1,127,1.25,83,Senior
129,Bambi,Cogger,Female,51,7/12/1990,DesignNullEngineer,Retail,Affluent Customer,No,Yes,5,28970 Monument Lane,2560,New South Wales,Australia,7,127,1.25,33,Adult
130,Aurie,Rhead,Female,78,7/28/1962,GeologicalNullEngineer,Manufacturing,Affluent Customer,No,Yes,5,235 Mendota Court,2650,New South Wales,Australia,2,127,1.25,61,Senior
131,Farris,Skettles,Male,38,7/3/1965,PaymentNullAdjustmentNullCoordinator,n/a,Mass Customer,No,Yes,13,49309 Redwing Lane,3240,Victoria,Australia,7,132,1.24844,58,Senior
132,Sharline,Abyss,Female,11,3/18/1960,,n/a,Mass Customer,No,Yes,15,367 Bay Point,4011,Queensland,Australia,4,133,1.2375,63,Senior
133,Nowell,Preddy,Male,29,7/23/1985,,Manufacturing,Mass Customer,No,No,9,932 Glendale Avenue,2173,New South Wales,Australia,9,133,1.2375,38,Adult
134,Lacy,Drance,Female,27,2/5/1978,GraphicNullDesigner,Manufacturing,Affluent Customer,No,Yes,14,492 Waywood Lane,2750,New South Wales,Australia,8,133,1.2375,45,Adult
135,Padraig,Snel,Male,89,11/8/1970,StaffNullAccountantNullII,n/a,Mass Customer,No,No,19,12683 Mifflin Point,2114,New South Wales,Australia,7,133,1.2375,53,Senior
136,Malorie,Votier,Female,90,5/29/1990,GraphicNullDesigner,Manufacturing,Affluent Customer,No,No,4,6160 Weeping Birch Hill,4509,Queensland,Australia,5,133,1.2375,33,Adult
137,Shepperd,Ricards,Male,28,9/27/1967,SocialNullWorker,Health,Mass Customer,No,Yes,16,7 Oakridge Lane,2284,New South Wales,Australia,4,133,1.2375,56,Senior
138,Daryl,Pauncefort,Female,12,6/18/1979,CommunityNullOutreachNullSpecialist,Financial Services,Mass Customer,No,Yes,12,0 Dexter Parkway,2380,New South Wales,Australia,3,133,1.2375,44,Adult
139,Norina,Blakeway,Female,60,2/11/1980,ProgrammerNullAnalystNullII,Property,Mass Customer,No,Yes,3,75813 Lawn Lane,3081,Victoria,Australia,8,133,1.2375,43,Adult
140,My,Chaston,Male,92,7/16/1966,DesktopNullSupportNullTechnician,Manufacturing,Affluent Customer,No,Yes,16,74613 Northport Park,3765,Victoria,Australia,9,133,1.2375,57,Senior
141,Isak,Bergstram,Male,14,3/8/2001,Pharmacist,Health,Affluent Customer,No,Yes,15,68 Karstens Pass,2176,New South Wales,Australia,9,142,1.23516,22,Teenager
142,Grannie,Cracker,Male,28,3/6/1949,VPNullMarketing,Retail,Mass Customer,No,Yes,20,87254 Hermina Pass,4217,Queensland,Australia,8,142,1.23516,74,Senior
143,Welby,Lourenco,Male,6,12/27/1975,SeniorNullCostNullAccountant,Financial Services,High Net Worth,No,Yes,17,801 Atwood Alley,2138,New South Wales,Australia,9,144,1.23438,48,Adult
144,Glenn,Casbourne,Female,4,8/8/1981,SeniorNullEditor,Manufacturing,Mass Customer,No,No,6,2 Morrow Alley,4207,Queensland,Australia,1,144,1.23438,42,Adult
145,Nadiya,Balasini,Female,40,11/5/1950,SalesNullAssociate,Financial Services,Mass Customer,No,No,15,92934 Mallory Trail,2164,New South Wales,Australia,9,146,1.225,73,Senior
146,Tyne,Coate,Female,82,7/15/1965,DeveloperNullII,Manufacturing,Mass Customer,No,No,17,90820 Thackeray Street,2218,New South Wales,Australia,8,146,1.225,58,Senior
147,Christie,Anders,Male,38,10/2/1969,VPNullMarketing,Retail,Mass Customer,No,No,16,48 Ludington Plaza,2153,New South Wales,Australia,10,146,1.225,54,Senior
148,Agnella,Capener,Female,58,5/21/1969,Teacher,Health,High Net Worth,No,No,19,49185 Derek Circle,3977,Victoria,Australia,6,146,1.225,54,Senior
149,Bernardine,Delmonti,Female,39,3/31/1971,,Property,Mass Customer,No,No,17,0721 Meadow Ridge Pass,2540,New South Wales,Australia,8,146,1.225,52,Senior
150,Daisy,Spowart,Female,60,12/18/1967,StaffNullAccountantNullI,Health,Affluent Customer,No,Yes,4,115 Westridge Road,4570,Queensland,Australia,3,146,1.225,56,Senior
